,age,birth date,death date,death season,first year,games,last year,link,name,position
264,59,1912-07-21,1972-03-19,1972,1934,310,1941,/players/t/trudelo01.html,Lou Trudel,LW
265,56,1916-09-03,1972-11-24,1973,1940,565,1954,/players/b/bentldo01.html,Doug Bentley,LW
266,67,1905-01-10,1972-11-08,1973,1932,123,1934,/players/b/brenndo01.html,Doug Brennan,D
267,58,1914-05-15,1972-10-17,1973,1937,629,1952,/players/b/brodatu01.html,Turk Broda,G
268,56,1916-10-26,1973-01-19,1973,1938,547,1950,/players/c/crawfja01.html,Jack Crawford,D
269,56,1916-01-22,1972-10-31,1973,1944,383,1950,/players/d/durnabi01.html,Bill Durnan,G
270,46,1926-08-17,1972-10-03,1973,1949,3,1950,/players/h/henrygo01.html,Gord Henry,G
271,74,1898-06-28,1972-12-12,1973,1926,2,1928,/players/i/ironsjo01.html,Joe Ironstone,G
272,64,1907-09-21,1972-09-16,1973,1932,7,1936,/players/j/jackspe01.html,Percy Jackson,G
273,75,1897-10-21,1973-04-12,1973,1926,5,1926,/players/l/lacrofr01.html,Frenchy Lacroix,G
274,54,1918-10-27,1973-05-20,1973,1945,72,1946,/players/m/mccoofr01.html,Frank McCool,G
275,49,1923-09-28,1973-02-13,1973,1944,66,1945,/players/o/oneilto01.html,Tom O'Neill,RW
276,68,1905-06-05,1973-07-17,1973,1931,43,1931,/players/p/peterfr01.html,Frank Peters,D
277,73,1900-06-23,1973-07-09,1973,1922,491,1935,/players/r/roachjo01.html,John Ross Roach,G
278,56,1916-10-05,1972-10-06,1973,1941,32,1942,/players/w/whitebo01.html,Bob Whitelaw,D
279,74,1899-03-07,1973-09-24,1974,1927,47,1929,/players/a/arbouja01.html,Jack Arbour,D
280,35,1938-10-17,1974-07-23,1974,1963,7,1963,/players/a/armstno01.html,Norm Armstrong,RW/D
281,59,1913-10-18,1973-09-08,1974,1937,2,1940,/players/b/beislfr01.html,Frank Beisler,D
282,75,1898-07-16,1974-06-08,1974,1927,73,1930,/players/b/bridear01.html,Archie Briden,LW
283,55,1918-10-13,1974-04-09,1974,1944,27,1944,/players/d/dyteja01.html,Jack Dyte,D
284,83,1890-10-11,1974-06-04,1974,1925,6,1925,/players/h/harrism01.html,Smokey Harris,LW
285,40,1933-07-24,1974-02-02,1974,1955,163,1958,/players/h/holligo01.html,Gord Hollingworth,D
286,44,1930-01-12,1974-02-21,1974,1950,1445,1974,/players/h/hortoti01.html,Tim Horton,D
287,64,1910-01-28,1974-03-01,1974,1930,64,1931,/players/h/huttobi01.html,Bill Hutton,D/RW
288,53,1920-08-11,1974-05-12,1974,1944,42,1945,/players/l/labrigu01.html,Guy Labrie,D
289,82,1891-08-13,1973-11-27,1974,1918,27,1921,/players/l/lowreed01.html,Ed Lowrey,C
290,29,1944-11-10,1974-05-01,1974,1968,246,1973,/players/m/makiwa01.html,Wayne Maki,LW
291,72,1902-04-14,1974-08-07,1974,1924,542,1937,/players/m/manthsy01.html,Sylvio Mantha,D
292,67,1906-07-18,1974-02-28,1974,1935,49,1935,/players/s/savagto01.html,Tony Savage,D
293,58,1916-03-22,1974-08-25,1974,1940,4,1940,/players/s/shannch01.html,Chuck Shannon,D
294,80,1893-08-13,1973-12-25,1974,1926,228,1931,/players/s/simpsjo01.html,Joe Simpson,D
295,63,1910-11-24,1974-03-13,1974,1944,2,1944,/players/z/zunicru01.html,Rudy Zunich,D
296,78,1896-04-27,1975-02-18,1975,1921,2,1921,/players/c/campbda01.html,Dave Campbell,D
297,82,1892-11-04,1974-12-31,1975,1920,72,1924,/players/c/careyge01.html,George Carey,RW
298,63,1911-05-24,1975-02-11,1975,1934,98,1940,/players/d/doranjo01.html,John Doran,D
299,83,1891-07-04,1975-04-13,1975,1927,156,1931,/players/d/duncaar01.html,Art Duncan,D
300,77,1898-01-10,1975-07-13,1975,1927,240,1933,/players/h/hayge01.html,George Hay,LW
301,63,1911-12-28,1974-12-31,1975,1943,1,1943,/players/l/leebo01.html,Bobby Lee,C
302,59,1915-02-01,1974-12-03,1975,1943,58,1946,/players/m/mcmahmi01.html,Mike McMahon,D
303,53,1921-04-03,1975-03-02,1975,1947,4,1947,/players/m/millahu01.html,Hugh Millar,D
304,71,1903-03-06,1974-10-17,1975,1925,33,1926,/players/r/reddige01.html,George Redding,LW/D
305,83,1892-06-01,1975-07-08,1975,1921,223,1930,/players/r/reisele01.html,Leo Reise,D
306,69,1905-12-13,1975-02-05,1975,1926,10,1952,/players/r/robermo01.html,Moe Roberts,G
307,51,1923-05-12,1975-01-29,1975,1947,4,1950,/players/w/whitesh01.html,Sherman White,C
308,67,1908-12-13,1976-05-06,1976,1938,1,1938,/players/a/ahlinru01.html,Rudy Ahlin,LW
309,67,1909-03-02,1976-04-11,1976,1932,11,1933,/players/a/alexaar01.html,Art Alexandre,LW
310,41,1934-10-15,1976-04-22,1976,1956,271,1959,/players/c/cieslha01.html,Hank Ciesla,C
311,79,1897-05-23,1976-08-19,1976,1929,93,1931,/players/d/dolsodo01.html,Dolly Dolson,G
312,75,1901-01-01,1976-03-22,1976,1928,28,1929,/players/h/hoffiva01.html,Val Hoffinger,D
313,64,1911-09-28,1976-05-20,1976,1930,700,1946,/players/h/howesy01.html,Syd Howe,C/LW
314,51,1924-08-21,1976-01-30,1976,1947,49,1955,/players/l/lamirje01.html,Jean-Paul Lamirande,LW/D
315,30,1945-01-03,1975-10-24,1976,1967,457,1974,/players/l/lemiere01.html,Real Lemieux,LW
316,64,1911-10-22,1976-07-01,1976,1935,26,1937,/players/m/mcmansa01.html,Sammy McManus,LW
317,68,1907-05-10,1975-09-24,1976,1928,459,1938,/players/s/shielal01.html,Al Shields,D
318,81,1894-11-02,1975-11-24,1976,1922,13,1922,/players/s/stackte01.html,Ted Stackhouse,D
319,70,1905-10-02,1976-07-03,1976,1928,102,1930,/players/t/taylora01.html,Ralph Taylor,D
320,37,1939-07-28,1977-05-12,1977,1966,284,1974,/players/a/ashbeba01.html,Barry Ashbee,D
321,84,1892-09-26,1976-11-12,1977,1918,362,1930,/players/b/benedcl01.html,Clint Benedict,G
322,83,1894-01-09,1977-01-25,1977,1930,96,1933,/players/b/bostrhe01.html,Helge Bostrom,D
323,61,1915-08-29,1977-06-25,1977,1945,8,1945,/players/c/coopeha01.html,Hal Cooper,RW
324,84,1892-03-01,1977-02-25,1977,1918,247,1927,/players/c/coutubi01.html,Billy Coutu,D
325,74,1902-08-30,1976-09-26,1977,1927,200,1934,/players/d/dukowdu01.html,Duke Dukowski,D
326,24,1953-04-17,1977-05-27,1977,1974,245,1977,/players/g/gassobo01.html,Bob Gassoff,D
327,67,1909-09-24,1977-01-08,1977,1934,6,1934,/players/h/harnowa01.html,Walter Harnott,LW
328,82,1894-11-15,1977-02-08,1977,1927,101,1929,/players/l/loughcl01.html,Clem Loughlin,D
329,68,1908-05-31,1976-12-29,1977,1931,5,1931,/players/m/mcadasa01.html,Sam McAdam,C/LW
330,71,1905-06-27,1976-09-13,1977,1929,386,1940,/players/m/mondoar01.html,Armand Mondou,LW
331,61,1916-06-21,1977-08-24,1977,1942,509,1951,/players/o/oconnbu01.html,Buddy O'Connor,C
332,70,1906-05-22,1977-01-16,1977,1927,270,1935,/players/p/pattege01.html,George Patterson,W
333,77,1899-02-17,1976-10-28,1977,1927,4,1927,/players/p/pudasal01.html,Al Pudas,W
334,81,1895-05-01,1977-04-01,1977,1920,211,1927,/players/r/roachmi01.html,Mickey Roach,C
335,68,1908-08-20,1977-06-09,1977,1930,94,1933,/players/r/rockbha01.html,Harvey Rockburn,D
336,74,1903-03-23,1977-06-09,1977,1923,56,1925,/players/s/scottga01.html,Ganton Scott,RW
337,76,1900-06-19,1977-02-15,1977,1927,62,1928,/players/s/scottla01.html,Laurie Scott,LW/C
338,63,1913-01-12,1976-10-25,1977,1934,160,1939,/players/s/shillja01.html,Jack Shill,C
339,48,1928-09-02,1977-04-14,1977,1957,9,1958,/players/s/smrkest01.html,Stan Smrke,LW
340,64,1912-12-28,1977-05-06,1977,1933,456,1942,/players/w/wisemed01.html,Eddie Wiseman,RW
341,73,1904-10-16,1978-05-18,1978,1930,93,1933,/players/a/adamsst01.html,Stew Adams,LW
342,55,1922-12-20,1978-04-10,1978,1943,8,1943,/players/b/bendli01.html,Lin Bend,C
343,69,1908-02-27,1977-12-27,1978,1929,405,1937,/players/b/blairan01.html,Andy Blair,C
344,76,1901-10-07,1977-12-12,1978,1922,557,1944,/players/b/bouchfr01.html,Frank Boucher,C
345,70,1907-02-09,1978-01-21,1978,1928,835,1947,/players/c/clappdi01.html,Dit Clapper,RW/D
346,70,1907-11-25,1978-06-04,1978,1930,81,1935,/players/f/fosteyi01.html,Yip Foster,D
347,59,1918-01-17,1977-10-04,1978,1941,59,1945,/players/h/huntfr01.html,Fred Hunt,RW
348,68,1910-01-11,1978-05-11,1978,1931,430,1941,/players/k/kerrda01.html,Dave Kerr,G
349,72,1905-11-19,1978-07-29,1978,1933,9,1933,/players/k/kuhngo01.html,Gord Kuhn,RW
350,54,1923-01-04,1977-10-29,1978,1944,1,1944,/players/m/mcdonro01.html,Robert McDonald,RW
351,78,1899-05-24,1978-01-10,1978,1926,302,1933,/players/p/phillme01.html,Merlyn Phillips,C
352,78,1900-02-01,1978-03-07,1978,1921,195,1927,/players/s/stuarbi01.html,Billy Stuart,D
353,53,1924-07-03,1978-04-12,1978,1944,27,1944,/players/w/webstdo01.html,Don Webster,LW
354,82,1896-06-29,1979-02-11,1979,1927,207,1931,/players/a/arbouty01.html,Ty Arbour,LW
355,64,1914-12-14,1979-03-30,1979,1936,420,1947,/players/c/coopejo01.html,Joe Cooper,D
356,64,1914-11-19,1979-02-07,1979,1938,16,1938,/players/c/croghma01.html,Maurice Croghan,D
357,63,1915-04-29,1979-03-17,1979,1937,220,1945,/players/f/fieldwi01.html,Wilf Field,D
358,83,1895-06-11,1979-05-28,1979,1927,161,1931,/players/f/fredrfr01.html,Frank Fredrickson,C
359,27,1952-05-16,1979-06-09,1979,1976,91,1979,/players/g/garlasc01.html,Scott Garland,C
360,72,1906-01-30,1979-01-11,1979,1928,347,1937,/players/g/grahate01.html,Ted Graham,D
361,80,1898-12-07,1979-06-17,1979,1927,436,1938,/players/j/johnsch01.html,Ching Johnson,D
362,42,1936-04-26,1978-12-09,1979,1956,19,1957,/players/n/nichoal01.html,Al Nicholson,LW
363,44,1934-05-17,1979-01-18,1979,1956,29,1957,/players/p/panaged01.html,Ed Panagabko,C
364,68,1910-11-24,1979-01-19,1979,1938,190,1942,/players/r/roberea01.html,Earl Robertson,G
365,66,1912-10-29,1978-12-16,1979,1932,10,1932,/players/s/sheapa01.html,Pat Shea,D
366,63,1915-07-09,1978-10-29,1979,1939,72,1942,/players/s/summebi01.html,Bill Summerhill,RW
367,48,1930-10-23,1979-08-16,1979,1950,152,1956,/players/w/wilsola01.html,Larry Wilson,C
368,70,1908-11-13,1979-11-12,1980,1932,94,1944,/players/b/boydir01.html,Irwin Boyd,RW
369,73,1906-10-18,1980-03-16,1980,1930,336,1939,/players/g/goldsle01.html,Leroy Goldsworthy,RW
370,70,1910-06-02,1980-06-15,1980,1932,649,1946,/players/h/helleot01.html,Ott Heller,D
371,73,1906-02-14,1979-10-20,1980,1928,211,1933,/players/l/lowrege01.html,Gerry Lowrey,LW
372,60,1919-07-27,1980-07-11,1980,1944,9,1945,/players/m/mannja01.html,Jack Mann,C
373,68,1911-03-23,1979-12-07,1980,1942,64,1945,/players/m/mccrejo01.html,John McCreedy,RW
374,51,1928-08-06,1979-10-27,1980,1952,2,1952,/players/m/mcleljo01.html,John McLellan,C
375,67,1912-02-03,1980-01-26,1980,1935,455,1946,/players/p/patrily01.html,Lynn Patrick,C/LW
376,62,1918-05-08,1980-08-02,1980,1943,130,1945,/players/s/simoncu01.html,Cully Simon,D
377,36,1942-10-14,1979-09-08,1980,1965,2,1965,/players/t/taylobi02.html,Billy Taylor,C
378,79,1899-12-16,1979-11-20,1980,1927,83,1933,/players/t/trappbo01.html,Bob Trapp,D
379,41,1939-04-23,1981-04-01,1981,1958,126,1969,/players/a/amadida01.html,Dave Amadio,D
380,26,1955-03-08,1981-05-30,1981,1976,188,1981,/players/a/ashbydo01.html,Don Ashby,C
381,55,1925-03-13,1980-11-03,1981,1946,8,1946,/players/b/bellgo01.html,Gordie Bell,G
382,66,1914-05-03,1980-09-01,1981,1943,11,1943,/players/b/bentlre01.html,Reg Bentley,LW
383,49,1932-05-02,1981-08-01,1981,1952,387,1959,/players/c/chevrre01.html,Real Chevrefils,LW
384,66,1915-04-01,1981-08-06,1981,1940,61,1941,/players/c/chishle01.html,Lex Chisholm,C/RW
385,53,1927-06-03,1981-04-07,1981,1946,1,1946,/players/d/delmoar01.html,Armand Delmonte,RW
386,74,1906-06-23,1981-04-04,1981,1927,103,1938,/players/d/doratke01.html,Ken Doraty,F
387,70,1910-04-04,1981-03-21,1981,1932,136,1937,/players/d/duguilo01.html,Lorne Duguid,LW
388,75,1905-07-21,1981-03-15,1981,1928,150,1933,/players/g/grosvle01.html,Len Grosvenor,C/RW
389,66,1914-07-26,1980-10-22,1981,1936,174,1942,/players/l/lorraro01.html,Rod Lorrain,RW
390,58,1922-02-25,1980-09-23,1981,1942,237,1952,/players/m/marticl01.html,Clare Martin,D
391,66,1914-10-11,1981-02-01,1981,1943,1,1943,/players/m/mcgibir01.html,Irv McGibbon,RW
392,81,1899-03-30,1981-01-12,1981,1927,3,1927,/players/s/stuarhe01.html,Herb Stuart,G
393,77,1903-05-31,1981-02-09,1981,1929,553,1940,/players/t/thompti01.html,Tiny Thompson,G
394,71,1909-08-30,1981-02-12,1981,1934,22,1937,/players/w/willibu01.html,Burr Williams,D
395,65,1916-02-27,1981-10-19,1982,1941,185,1947,/players/b/benoijo01.html,Joe Benoit,RW
396,67,1915-03-31,1982-05-13,1982,1939,31,1940,/players/b/bourqcl01.html,Claude Bourque,G
397,76,1905-08-09,1982-07-19,1982,1926,62,1930,/players/b/brophbe01.html,Bernie Brophy,LW
398,67,1914-11-28,1982-04-15,1982,1936,410,1946,/players/b/brunemu01.html,Mud Bruneteau,RW
399,69,1912-12-24,1982-02-15,1982,1934,572,1946,/players/c/cainhe01.html,Herb Cain,LW
400,78,1903-10-12,1982-08-08,1982,1927,319,1934,/players/c/coxda01.html,Danny Cox,LW
401,69,1913-06-10,1982-07-23,1982,1944,9,1944,/players/d/dewarto01.html,Tom Dewar,D
402,79,1903-02-18,1982-08-28,1982,1929,43,1929,/players/e/elliofr01.html,Fred Elliott,RW
403,72,1909-01-19,1981-09-16,1982,1931,204,1939,/players/g/gallajo01.html,John Gallagher,D
404,73,1908-06-06,1982-06-05,1982,1933,54,1936,/players/g/girouar01.html,Art Giroux,RW
405,58,1924-06-21,1982-08-10,1982,1943,29,1944,/players/i/ingoljo01.html,Jack Ingoldsby,RW/D
406,76,1906-06-18,1982-08-21,1982,1928,443,1938,/players/l/lambjo01.html,Joe Lamb,RW
407,63,1919-02-24,1982-06-06,1982,1942,263,1951,/players/m/mccaido01.html,Doug McCaig,D
408,38,1943-10-21,1982-07-23,1982,1965,292,1975,/players/m/mickela01.html,Larry Mickey,RW
409,67,1914-02-22,1981-09-26,1982,1938,195,1942,/players/s/smithde01.html,Des Smith,D
410,75,1906-07-06,1981-09-25,1982,1930,206,1936,/players/s/starrha01.html,Harold Starr,D
411,63,1919-08-29,1983-03-15,1983,1946,5,1946,/players/b/bastiba01.html,Baz Bastien,G
412,79,1903-07-23,1982-12-05,1983,1925,100,1930,/players/d/dinsmch01.html,Chuck Dinsmore,C
413,44,1938-05-24,1982-12-30,1983,1959,328,1972,/players/g/gamblbr01.html,Bruce Gamble,G
414,69,1914-05-15,1983-05-23,1983,1936,22,1937,/players/h/hemmeto01.html,Tony Hemmerling,LW
415,76,1906-05-12,1983-01-04,1983,1930,40,1930,/players/h/hugheja01.html,James Hughes,D
416,75,1907-12-07,1983-05-07,1983,1930,112,1937,/players/j/jarvija01.html,James Jarvis,LW
417,76,1907-01-20,1983-04-11,1983,1931,234,1939,/players/j/jerwajo01.html,Joe Jerwa,D
418,43,1940-03-29,1983-03-31,1983,1966,187,1971,/players/m/mccaldu01.html,Dunc McCallum,D
419,45,1937-09-16,1983-07-15,1983,1962,1,1962,/players/o/oleseda01.html,Dan Olesevich,G
420,78,1904-05-16,1982-12-01,1983,1933,17,1933,/players/p/plaxthu01.html,Hugh Plaxton,LW
421,72,1911-04-12,1983-04-24,1983,1936,24,1938,/players/r/roulsro01.html,Rolly Roulston,LW/D
422,72,1910-10-25,1983-05-06,1983,1934,180,1938,/players/s/shannge01.html,Gerry Shannon,LW
423,66,1917-05-06,1983-05-25,1983,1939,565,1952,/players/s/stewaja01.html,Jack Stewart,D
424,76,1906-07-05,1983-01-29,1983,1929,50,1930,/players/v/vailsp01.html,Sparky Vail,D/LW
425,77,1905-01-24,1982-10-10,1983,1928,575,1940,/players/w/wentwcy01.html,Cy Wentworth,D
426,52,1931-07-26,1984-03-20,1984,1952,3,1952,/players/a/anderlo01.html,Lorne Anderson,G
427,63,1920-03-01,1984-01-19,1984,1941,646,1954,/players/b/bentlma01.html,Max Bentley,C
428,65,1918-07-11,1984-05-31,1984,1939,26,1942,/players/b/bushed01.html,Eddie Bush,D
429,78,1905-06-08,1984-03-22,1984,1931,454,1940,/players/g/gagnojo01.html,Johnny Gagnon,RW
430,70,1913-07-31,1984-07-25,1984,1937,449,1948,/players/h/hextabr01.html,Bryan Hextall,RW
431,62,1921-10-26,1984-04-23,1984,1946,8,1946,/players/m/mclenro01.html,Rollie McLenahan,D
432,86,1898-03-29,1984-05-07,1984,1927,395,1935,/players/m/mcveich01.html,Charley McVeigh,C/LW
433,50,1933-09-17,1984-04-17,1984,1956,1005,1970,/players/p/provocl01.html,Claude Provost,RW
434,75,1909-01-01,1984-07-21,1984,1931,360,1940,/players/r/romnedo01.html,Doc Romnes,LW/C
435,73,1910-08-24,1984-05-07,1984,1930,1,1930,/players/s/spoonre01.html,Red Spooner,G
436,65,1919-01-31,1984-07-25,1984,1946,129,1948,/players/t/trudere01.html,Rene Trudell,RW
437,55,1928-07-15,1983-11-24,1984,1951,1,1951,/players/w/wyliebi01.html,Bill Wylie,C
438,89,1896-02-13,1985-08-13,1985,1928,13,1928,/players/b/brownce01.html,Cecil Browne,LW
439,67,1918-03-21,1985-08-15,1985,1941,502,1951,/players/c/carvejo01.html,Joe Carveth,RW
440,68,1916-10-05,1984-12-29,1985,1939,490,1952,/players/c/conacro01.html,Roy Conacher,LW
441,81,1902-11-05,1984-09-09,1985,1926,503,1937,/players/c/cottoba01.html,Baldy Cotton,LW
442,80,1904-07-19,1985-05-10,1985,1930,5,1936,/players/c/coxab01.html,Abbie Cox,G
443,74,1911-07-12,1985-07-22,1985,1935,41,1935,/players/c/crutcne01.html,Nels Crutchfield,C
444,55,1928-12-31,1984-11-26,1985,1951,8,1954,/players/d/desauge01.html,Gerard Desaulniers,C
445,70,1915-04-12,1985-05-14,1985,1939,335,1947,/players/g/grossdo01.html,Don Grosso,LW/C
446,76,1908-02-12,1984-11-14,1985,1932,35,1933,/players/k/keatijo01.html,John Keating,LW
447,79,1905-08-10,1984-11-12,1985,1927,525,1938,/players/k/keelibu01.html,Butch Keeling,LW
448,67,1917-01-30,1984-12-11,1985,1941,74,1942,/players/l/lopresa01.html,Sam LoPresti,G
449,72,1912-09-06,1984-12-05,1985,1942,83,1945,/players/m/mitchre01.html,Red Mitchell,D
450,86,1898-10-26,1985-06-16,1985,1927,465,1937,/players/o/oliveha01.html,Harry Oliver,RW
451,82,1902-11-25,1985-03-16,1985,1927,551,1940,/players/s/shoreed01.html,Eddie Shore,D
452,89,1895-09-28,1985-03-03,1985,1921,74,1926,/players/s/smyliro01.html,Rod Smylie,W
453,78,1906-01-16,1984-11-30,1985,1931,490,1941,/players/s/sorrejo01.html,John Sorrell,LW
454,87,1897-07-25,1984-11-21,1985,1926,3,1926,/players/s/spencgo01.html,Gordon Spence,LW
455,80,1904-11-05,1985-07-03,1985,1929,509,1939,/players/w/weilaco01.html,Cooney Weiland,C
456,30,1954-12-28,1985-06-03,1985,1975,2,1975,/players/w/whelddo01.html,Don Wheldon,D
457,37,1947-07-04,1984-12-30,1985,1970,574,1977,/players/w/widinju01.html,Juha Widing,C
458,71,1915-02-14,1986-05-08,1986,1938,510,1949,/players/c/chambmu01.html,Murph Chamberlain,LW
459,89,1896-10-09,1986-04-06,1986,1927,475,1937,/players/c/cookbi01.html,Bill Cook,RW
460,80,1905-07-24,1986-03-01,1986,1929,329,1936,/players/c/couturo01.html,Rosie Couture,RW
461,64,1921-06-25,1985-09-27,1986,1942,278,1951,/players/d/dickeer01.html,Ernie Dickens,D
462,72,1914-03-02,1986-05-03,1986,1938,10,1938,/players/d/drouicl01.html,Clarence Drouillard,C
463,88,1897-07-04,1985-12-30,1986,1920,210,1933,/players/f/forbeja01.html,Jake Forbes,G
464,70,1915-04-06,1985-10-17,1986,1937,135,1939,/players/f/fowleji01.html,Jimmy Fowler,D
465,78,1907-04-09,1985-09-10,1986,1930,557,1943,/players/g/goodfeb01.html,Ebbie Goodfellow,C/D
466,80,1905-06-24,1986-05-15,1986,1929,591,1945,/players/g/gottsjo01.html,Johnny Gottselig,LW
467,86,1899-06-21,1986-04-10,1986,1928,50,1929,/players/g/grayal01.html,Alex Gray,RW
468,68,1917-01-11,1985-12-12,1986,1938,429,1951,/players/h/hamilre02.html,Red Hamill,LW
469,61,1923-12-10,1985-09-28,1986,1944,24,1944,/players/h/highthe01.html,Hec Highton,G
470,63,1922-03-21,1985-12-26,1986,1944,1,1944,/players/j/jamieji01.html,Jim Jamieson,D
471,84,1901-08-29,1986-06-02,1986,1923,655,1938,/players/j/joliaau01.html,Aurele Joliat,LW
472,74,1911-10-20,1986-04-20,1986,1937,7,1937,/players/l/laprabe01.html,Benjamin LaPrairie,D
473,26,1959-05-24,1985-11-10,1986,1982,157,1986,/players/l/lindbpe01.html,Pelle Lindbergh,G
474,71,1914-09-06,1986-05-11,1986,1940,152,1945,/players/m/macdoki01.html,Kilby MacDonald,LW
475,77,1908-08-01,1986-06-12,1986,1935,95,1937,/players/m/millebi01.html,Bill Miller,C/D
476,85,1901-02-12,1986-03-04,1986,1929,183,1933,/players/o/owenge01.html,George Owen,D
477,74,1911-11-11,1986-04-12,1986,1933,292,1940,/players/p/pettigo01.html,Gord Pettinger,C
478,57,1929-01-17,1986-02-27,1986,1953,837,1973,/players/p/plantja01.html,Jacques Plante,G
479,85,1900-06-15,1986-04-09,1986,1930,25,1930,/players/q/quennle01.html,Leo Quenneville,LW/C
480,86,1899-02-17,1986-01-14,1986,1925,39,1926,/players/r/reidre01.html,Reg Reid,LW
481,75,1909-11-19,1985-10-15,1986,1930,88,1932,/players/r/rivergu01.html,Gus Rivers,RW
482,53,1932-09-11,1986-09-01,1987,1958,34,1958,/players/b/boonebu01.html,Buddy Boone,RW
483,89,1898-05-09,1987-07-06,1987,1927,50,1928,/players/b/brownst01.html,Stan Brown,D
484,48,1938-04-27,1986-12-18,1987,1968,61,1969,/players/c/caronal01.html,Alain Caron,RW
485,83,1903-02-25,1986-11-08,1987,1922,592,1937,/players/c/clancki01.html,King Clancy,D
486,72,1913-10-23,1986-09-23,1987,1937,312,1943,/players/d/drillgo01.html,Gordie Drillon,RW
487,89,1897-07-23,1987-03-15,1987,1927,449,1936,/players/d/duttore01.html,Red Dutton,D
488,94,1892-10-14,1987-07-30,1987,1925,7,1925,/players/f/fowlehe01.html,Hec Fowler,G
489,67,1919-11-29,1987-07-09,1987,1942,387,1951,/players/k/kaletal01.html,Alex Kaleta,LW
490,66,1920-07-23,1987-04-12,1987,1942,14,1942,/players/k/knottni01.html,Nick Knott,D
491,67,1919-06-04,1987-03-07,1987,1942,45,1946,/players/k/kuntzal01.html,Alan Kuntz,LW
492,81,1905-10-02,1987-08-06,1987,1929,71,1934,/players/l/lanemy01.html,Myles Lane,D
493,70,1916-05-08,1987-03-23,1987,1941,224,1948,/players/m/mariujo01.html,John Mariucci,D
494,84,1902-05-30,1987-04-23,1987,1928,39,1931,/players/m/mccaled01.html,Eddie McCalmon,RW
495,85,1901-07-18,1987-03-02,1987,1927,2,1927,/players/m/mcfargo01.html,Gord McFarlane,RW/D
496,63,1923-09-09,1987-01-15,1987,1948,1,1948,/players/n/nichoed01.html,Ed Nicholson,D
497,78,1908-09-07,1986-11-07,1987,1929,448,1939,/players/n/northba01.html,Baldy Northcott,D/LW
498,79,1907-03-11,1986-09-12,1987,1929,419,1940,/players/r/robinea01.html,Earl Robinson,RW/C
499,85,1901-03-22,1986-09-10,1987,1927,90,1931,/players/r/roddeed01.html,Eddie Rodden,C
500,87,1899-10-16,1987-04-15,1987,1925,100,1928,/players/r/rothssa01.html,Sam Rothschild,LW
501,71,1915-12-08,1987-05-05,1987,1943,70,1945,/players/s/shackjo01.html,Joe Shack,LW
502,64,1923-04-04,1987-05-30,1987,1947,6,1947,/players/s/simpscl01.html,Cliff Simpson,C
503,68,1918-04-24,1986-11-17,1987,1941,41,1941,/players/s/slobope01.html,Peter Slobodian,D
504,73,1913-09-13,1987-04-04,1987,1940,1,1940,/players/s/steinph01.html,Phil Stein,G
505,76,1910-11-10,1987-02-17,1987,1944,8,1944,/players/t/toupija01.html,Jacques Toupin,RW
506,69,1919-04-29,1988-06-30,1988,1945,36,1945,/players/b/backope01.html,Pete Backor,D
507,71,1916-07-30,1988-03-23,1988,1943,63,1945,/players/c/callano01.html,Norm Calladine,C
508,73,1914-08-04,1987-12-26,1988,1936,465,1949,/players/c/colvine01.html,Neil Colville,C/D
509,84,1903-09-18,1988-03-19,1988,1927,477,1937,/players/c/cookbu01.html,Bun Cook,LW
510,72,1916-05-22,1988-06-23,1988,1938,18,1941,/players/c/corrich01.html,Chuck Corrigan,RW
511,78,1910-02-16,1988-07-16,1988,1930,84,1935,/players/h/heximob01.html,Obs Heximer,LW/C
512,54,1933-07-05,1988-06-30,1988,1957,114,1965,/players/i/ingraro01.html,Ron Ingram,D
513,73,1914-03-12,1987-12-22,1988,1938,189,1942,/players/k/kampmbi01.html,Bingo Kampman,D
514,79,1909-03-15,1988-05-16,1988,1930,24,1943,/players/m/mattejo02.html,Joe Matte,D
515,46,1941-03-26,1988-02-06,1988,1968,614,1977,/players/p/plageba01.html,Barclay Plager,D
516,81,1906-04-13,1988-01-11,1988,1931,37,1932,/players/p/prattja01.html,Jack Pratt,C/D
517,43,1944-04-05,1987-10-20,1988,1980,79,1980,/players/s/sjobela01.html,Lars-Erik Sjoberg,D
518,79,1908-03-18,1988-02-02,1988,1932,198,1945,/players/s/smithno01.html,Normie Smith,G
519,38,1949-09-03,1988-06-03,1988,1970,553,1979,/players/s/spencbr01.html,Brian Spencer,LW
520,46,1941-08-18,1988-07-30,1988,1965,504,1972,/players/w/woytobo01.html,Bob Woytowich,D
521,73,1916-05-10,1989-05-25,1989,1939,210,1947,/players/d/demarab01.html,Ab DeMarco,C
522,64,1924-02-28,1989-01-03,1989,1947,10,1950,/players/d/denisje01.html,Jean-Paul Denis,RW
523,83,1905-01-12,1988-10-23,1989,1927,330,1938,/players/e/emmsha01.html,Hap Emms,LW/D
524,90,1897-10-11,1988-10-06,1989,1927,228,1932,/players/g/gagnear01.html,Art Gagne,RW
525,82,1906-09-21,1989-08-16,1989,1927,67,1929,/players/h/hallimi01.html,Milt Halliday,LW
526,79,1910-03-01,1989-05-12,1989,1931,384,1941,/players/h/haynepa01.html,Paul Haynes,C
527,71,1917-11-24,1989-08-01,1989,1941,10,1941,/players/h/herchar01.html,Art Herchenratter,LW
528,96,1892-07-22,1989-01-02,1989,1921,1,1921,/players/p/pletsch01.html,Charles Pletsch,D
