,age,birth date,death date,experience,games,name
456,80.0,1928-04-02,2008-06-24,1,7,Phil Martin
457,78.0,1928-02-05,2006-08-16,2,99,Al Masino
458,,,,1,14,Bucky McConnell
459,72.0,1928-09-07,2001-01-26,4,191,Alfred McGuire
460,60.0,1928-12-03,1989-06-11,8,524,Jack McMahon
461,85.0,1928-10-21,2013-11-21,10,699,Vern Mikkelsen
462,81.0,1928-02-02,2009-11-06,1,8,Al Miksis
463,80.0,1928-04-20,2008-06-15,3,181,Ken Murray
464,70.0,1928-05-18,1999-02-02,1,14,Jerry Nagel
465,,,,1,5,John O'Boyle
466,,,,2,119,Ralph O'Brien
467,60.0,1928-04-13,1988-10-05,2,82,Dermie O'Connell
468,87.0,1928-06-03,2015-10-18,1,6,Tommy O'Keefe
469,83.0,1928-07-06,2012-01-11,4,204,Wally Osterkorn
470,54.0,1928-12-10,1983-09-19,1,51,Ray Ragelis
471,80.0,1928-10-29,2009-01-16,1,6,Sherwin Raiken
472,65.0,1928-06-23,1994-03-13,1,39,Sam Ranzino
473,,,,2,17,Don Savage
474,84.0,1928-01-01,2012-06-30,1,33,Alan Sawyer
475,87.0,1928-05-19,2015-12-10,15,996,Dolph Schayes
476,83.0,1928-12-21,2012-06-28,2,32,Herb Scherer
477,,,,6,364,Dick Schnittker
478,70.0,1928-01-30,1998-05-05,12,622,Paul Seymour
479,71.0,1928-05-13,1999-08-02,1,28,Jim Slaughter
480,86.0,1928-09-12,2014-11-08,6,224,Ernie Vandeweghe
481,75.0,1928-11-03,2004-08-13,7,472,George Yardley
482,,,,2,131,Ernie Barrett
483,67.0,1929-01-25,1996-03-15,1,12,Ed Beach
484,,,,1,4,Elmer Behnke
485,80.0,1929-06-27,2009-08-02,2,34,Stan Brown
486,69.0,1929-04-26,1998-11-24,1,37,Bert Cook
487,88.0,1929-07-19,2017-10-07,5,315,George Dempsey
488,75.0,1929-01-09,2004-07-19,1,7,Fred Diute
489,71.0,1929-07-02,2000-12-25,2,17,George Feigenbaum
490,73.0,1929-06-12,2002-08-09,2,103,Jake Fendley
491,81.0,1929-02-06,2010-02-08,1,18,Don Hanrahan
492,79.0,1929-05-20,2008-08-20,2,74,Larry Hennessy
493,78.0,1929-10-10,2008-05-14,2,138,Don Henriksen
494,82.0,1929-07-16,2012-02-08,6,414,Lew Hitch
495,49.0,1929-02-04,1978-09-28,8,516,Neil Johnston
496,79.0,1929-06-18,2009-01-31,1,6,Mike Kearns
497,53.0,1929-01-05,1982-02-16,2,53,Jack Kiley
498,79.0,1929-04-30,2008-05-23,1,2,Bob Knight
499,46.0,1929-11-08,1976-06-17,4,209,Don Lofgran
500,86.0,1929-09-07,2016-03-09,11,704,Clyde Lovellette
501,68.0,1929-09-03,1998-02-08,1,4,Bob Naber
502,79.0,1929-09-03,2009-05-07,1,1,Paul Nolen
503,,,,1,4,James Phelan
504,,,,1,49,Ralph Polson
505,75.0,1929-05-05,2004-06-18,1,4,Moe Radovich
506,78.0,1929-08-11,2007-12-09,1,6,John Rennicke
507,82.0,1929-01-25,2011-06-06,2,12,Zeke Sinicola
508,69.0,1929-07-05,1998-11-26,1,12,Ed Smith
509,70.0,1929-05-22,1999-06-10,1,40,Joe Smyth
510,31.0,1929-12-20,1961-07-15,2,113,Don Sunderlage
511,57.0,1929-11-16,1987-05-01,2,58,Dick Surhoff
512,81.0,1929-09-30,2011-02-01,1,23,Hal Uplinger
513,80.0,1930-09-04,2011-07-09,1,28,Don Ackerman
514,65.0,1930-11-01,1995-11-19,1,1,Don Anielak
515,76.0,1930-11-18,2007-11-01,2,131,Irv Bemoras
516,59.0,1930-08-06,1990-02-11,1,11,Tom Brennan
517,73.0,1930-01-01,2003-04-23,2,35,Jim Browne
518,,,,1,26,Dick Bunt
519,,,,1,6,Fred Christ
520,86.0,1930-11-10,2017-07-04,6,351,Gene Conley
521,79.0,1930-03-03,2009-08-31,1,12,Pete Darcey
522,85.0,1930-09-19,2016-01-25,1,1,Blaine Denning
523,70.0,1930-06-23,2001-03-13,8,553,Walter Dukes
524,,1930-02-17,1966-01-00,1,11,Gene Dyker
525,60.0,1930-12-10,1991-07-28,9,637,Ray Felix
526,68.0,1930-01-15,1998-07-02,13,845,Joe Graboski
527,51.0,1930-06-22,1981-09-29,1,1,Norm Grekin
528,,,,1,26,Dick Groat
529,84.0,1930-01-10,2014-08-20,1,5,Herm Hedderick
530,77.0,1930-09-24,2007-12-16,4,225,Jim Holstein
531,,,,6,345,Billy Kenville
532,85.0,1930-02-04,2015-12-01,9,511,Jim Loscutoff
533,,,,1,6,Ronnie MacGilvray
534,86.0,1930-04-09,2016-04-19,1,11,John McConathy
535,,,,1,1,Carl McNulty
536,82.0,1930-10-30,2013-09-03,5,343,Monk Meineke
537,,,,1,18,Jim Mooney
538,81.0,1930-05-21,2011-10-03,2,80,Jim Neal
539,,,,1,16,Bob Priddy
540,72.0,1930-11-30,2002-12-24,3,215,Richie Regan
541,78.0,1930-10-25,2009-02-23,2,84,Al Roges
542,,,,2,85,Dick Rosenthal
543,86.0,1930-10-04,2016-11-24,1,63,Norm Swanson
544,84.0,1930-08-31,2015-08-22,3,157,Lou Tsioropoulos
545,84.0,1930-06-29,2014-10-05,1,65,Jack Turner
546,45.0,1930-08-29,1976-03-04,1,10,Jim Walsh
547,47.0,1930-08-25,1977-09-10,1,4,Isaac Walthour
548,86.0,1930-03-22,2017-01-31,1,63,Bobby Watson
549,,1930-08-29,1990-08-00,1,3,Skippy Whitaker
550,53.0,1930-03-10,1983-12-21,2,79,Mark Workman
551,76.0,1930-10-13,2007-01-09,3,179,Zeke Zawoluk
552,,,,2,43,Dick Atha
553,,,,7,371,Ernie Beck
554,78.0,1931-08-21,2009-10-08,1,20,Bill Bolger
555,,,,1,3,Doug Bolstorff
556,83.0,1931-02-03,2014-03-21,1,20,Jim Brasco
557,70.0,1931-07-02,2001-12-13,12,706,Larry Costello
558,,,,5,325,Walt Davis
559,63.0,1931-12-21,1995-04-28,3,210,Corky Devlin
560,44.0,1931-03-17,1975-11-11,1,28,Pat Dunn
561,68.0,1931-08-06,2000-01-28,1,10,Ron Feiereisel
562,,,,2,84,Jim Fritsche
563,,,,13,839,Cliff Hagan
564,,,,2,80,Rollen Hans
565,,,,1,24,McCoy Ingram
566,72.0,1931-01-07,2003-01-20,1,12,Dan King
567,,,,1,5,Dick Knostman
568,,,,4,168,Tom Marshall
569,,,2005-05-14,1,12,Ken McBride
570,,,,1,10,George McLeod
571,82.0,1931-06-18,2014-04-09,2,142,Eddie Miller
572,,,,1,31,Bill Mlkvy
573,43.0,1931-10-31,1975-08-03,1,32,Jack Molinas
574,,,,7,411,Chuck Noble
575,,,,1,4,Worthy Patterson
576,86.0,1931-07-13,2018-07-08,9,623,Frank Ramsey
577,,,,1,7,Frank Reddout
578,,,,10,699,Gene Shue
579,,,,2,24,Bob Williams
580,,,,1,1,Forest Able
581,,,,2,36,Whitey Bell
582,78.0,1932-07-16,2010-07-27,1,6,Gary Bergen
583,,,,10,687,Al Bianchi
584,79.0,1932-08-03,2011-11-10,1,19,Bob Carney
585,,,,1,3,Red Davis
586,74.0,1932-07-30,2007-01-25,1,18,Bo Erias
587,37.0,1932-04-13,1969-10-01,3,211,Dick Farley
588,,,,6,421,Dick Garmaker
589,,,,13,848,Richie Guerin
590,47.0,1932-11-24,1980-11-14,1,19,Johnny Horan
591,82.0,1932-03-12,2014-05-28,5,281,Bob Houbregs
592,69.0,1932-11-08,2002-08-30,4,292,Andy Johnson
593,,,,9,676,K.C. Jones
594,,,,3,209,Ed Kalafat
595,76.0,1932-07-17,2009-02-26,12,905,Red Kerr
596,,,,7,426,Slick Leonard
597,,,,3,134,Jackie Moore
598,,,,3,155,Red Morrison
599,,,,6,324,Togo Palazzi
600,81.0,1932-12-19,2014-10-28,2,138,Jim Paxson
601,79.0,1932-01-25,2011-07-30,3,103,Bob Peterson
602,,,,11,792,Bob Pettit
603,,,,9,565,Frank Selvy
604,,,,3,150,Guy Sparrow
605,75.0,1932-09-11,2008-04-09,4,278,Art Spoelstra
606,,,,3,99,Jim Tucker
607,82.0,1933-06-17,2016-01-05,1,19,Bob Armstrong
608,,,,1,31,Jesse Arnelle
609,,,,7,474,Bucky Bockhorn
610,79.0,1933-09-02,2012-09-21,7,486,Ed Conlin
611,,,,1,34,Dick Duckett
612,,,,1,1,Rich Eichhorst
613,82.0,1933-07-06,2016-05-02,6,371,Al Ferrari
614,68.0,1933-07-25,2002-04-10,5,292,Ed Fleming
615,81.0,1933-01-13,2014-01-26,10,698,Tom Gola
616,,,,14,1057,Johnny Green
617,47.0,1933-08-20,1980-10-04,9,504,Si Green
618,55.0,1933-01-30,1988-04-05,2,143,Swede Halbrook
619,,,,1,41,Chris Harris
620,83.0,1933-08-29,2017-08-03,2,138,Dick Hemric
621,,,,12,871,Sam Jones
622,31.0,1933-09-12,1965-06-07,7,442,Phil Jordon
623,,,,2,141,Chuck Mencel
624,,,,1,6,Boris Nachamkin
625,80.0,1933-06-08,2013-09-16,3,196,Jim Palmer
626,65.0,1933-04-11,1998-07-23,5,313,Med Park
627,54.0,1933-12-04,1988-03-06,3,212,Dick Ricketts
628,,,,2,82,Lennie Rosenbluth
629,,,2005-02-15,2,65,Bob Schafer
630,83.0,1933-08-17,2017-04-23,8,529,Kenny Sears
631,49.0,1933-12-04,1983-06-27,2,8,Ron Shavlik
632,78.0,1933-05-18,2011-08-31,1,72,Jack Stephens
633,36.0,1933-06-17,1970-04-06,3,202,Maurice Stokes
634,74.0,1933-12-16,2008-06-19,1,58,Bennie Swain
635,52.0,1933-03-18,1985-05-18,4,268,Win Wilfong
636,,,,1,9,Tony Windis
637,,,,14,846,Elgin Baylor
638,,,,2,81,Bob Burrow
639,63.0,1934-11-30,1997-12-02,2,82,Steve Hamilton
640,,,,9,654,Tom Heinsohn
641,63.0,1934-02-26,1998-01-28,3,192,Joe Holup
642,80.0,1934-11-03,2015-05-15,4,273,Bob Hopkins
643,80.0,1934-10-26,2015-03-27,6,431,Hot Rod Hundley
644,,,,6,316,Johnny McCarthy
645,,,,10,716,Willie Naulls
646,69.0,1934-08-27,2004-05-12,7,413,Dave Piontek
647,,,,2,8,Jim Ray
648,,,,3,177,Phil Rollins
649,,,,13,963,Bill Russell
650,73.0,1934-07-11,2007-09-03,7,462,Woody Sauldsberry
651,75.0,1934-09-21,2009-10-23,4,192,Ron Sobie
652,62.0,1934-12-23,1997-04-03,1,39,Dan Swartz
653,78.0,1934-05-11,2012-05-30,11,823,Jack Twyman
654,82.0,1935-02-02,2017-07-16,1,11,Jerry Bird
655,80.0,1935-07-01,2015-07-20,1,3,George Bon Salle
656,,,,1,1,George Brown
657,,,,6,362,Barney Cable
658,,,,1,8,Bill Ebben
659,62.0,1935-04-14,1998-02-27,1,44,Larry Friend
660,72.0,1935-03-12,2007-09-17,2,38,Maurice King
661,29.0,1935-09-08,1965-05-06,7,515,Jim Krebs
662,81.0,1935-01-31,2016-06-25,1,3,Hal Lear
663,81.0,1935-12-07,2017-08-13,2,52,Nick Mantis
664,,,,3,41,Brendan McCann
665,50.0,1935-07-21,1986-03-06,1,6,Jerry Paulson
666,,,,1,1,Ray Radziszewski
667,,,,1,20,Connie Rea
668,65.0,1935-09-01,2001-02-19,12,892,Guy Rodgers
669,,,,1,4,Bob Santini
670,,,,1,5,Norm Stewart
671,,,,2,85,Bill Thieben
672,71.0,1935-08-16,2006-12-29,5,348,Charlie Tyra
673,70.0,1936-10-08,2006-11-29,2,78,Gary Alcorn
674,79.0,1936-02-17,2015-03-04,1,7,Stacey Arceneaux
675,,,,11,711,Al Attles
676,,,,14,971,Dick Barnett
677,75.0,1936-09-23,2012-06-08,1,16,Pete Brennan
678,76.0,1936-02-08,2012-10-08,5,279,Donnie Butcher
679,63.0,1936-08-21,1999-10-12,14,1045,Wilt Chamberlain
680,,,,1,73,Johnny Cox
681,80.0,1936-02-22,2016-04-04,4,190,Archie Dees
682,77.0,1936-10-02,2013-12-29,10,706,Connie Dierking
683,74.0,1936-02-11,2010-05-06,2,118,Boo Ellis
684,,,,7,423,Mike Farmer
685,81.0,1936-06-26,2018-04-14,15,1122,Hal Greer
686,,,,4,225,Vern Hatton
687,80.0,1936-12-22,2017-08-16,10,764,Tom Hawkins
688,,,,5,272,Willie Jones
689,,,,1,1,Tommy Kearns
690,,,,7,297,George Lee
691,44.0,1936-03-11,1980-07-11,4,263,Shellie McMillon
692,,,,10,727,Don Ohl
693,78.0,1936-03-13,2015-01-04,1,66,Jack Parr
694,,,,7,479,Hub Reed
695,,,,4,218,Joe Roberts
696,,,,11,772,Adrian Smith
697,70.0,1936-10-11,2007-07-13,5,265,Larry Staverman
698,,,,1,8,Wayne Stevens
699,65.0,1936-09-04,2002-04-05,8,436,Ben Warley
700,,,,1,33,Bob Anderegg
701,75.0,1937-04-26,2012-05-19,11,874,Bob Boozer
702,,,,2,65,Joe Buckhalter
703,49.0,1937-09-25,1987-06-08,1,5,Jimmy Darrow
704,,,,11,831,Wayne Embry
705,,,,10,634,Bob Ferry
706,,,,12,750,Dave Gambee
707,79.0,1937-09-13,2016-11-20,4,129,Gene Guarilia
708,,,,1,1,Dave Gunther
709,,,,12,950,Bailey Howell
710,66.0,1937-11-11,2004-07-09,10,736,Rudy LaRusso
711,,,,2,13,Cal Ramsey
712,,1937-03-12,1983-03-00,1,66,John Richter
713,,,,2,13,Bobby Smith
714,,,,1,32,Sam Stith
715,,,,1,62,Willis Thomas
716,,,,6,271,Gene Tormohlen
717,64.0,1937-04-17,2001-06-07,1,65,Horace Walker
718,,,,5,309,Gene Wiley
719,,,,15,1077,Lenny Wilkens
720,,,,1,37,Wayne Yates
721,,,,3,114,Jay Arnette
722,75.0,1938-03-20,2013-11-11,10,589,John Barnhill
723,,,,8,566,Em Bryant
724,68.0,1938-08-17,2006-10-05,2,68,Cleveland Buckner
725,,,,5,353,Dave Budd
726,62.0,1938-07-09,2000-07-12,4,234,Al Butler
727,67.0,1938-06-07,2005-10-24,1,31,Howie Carl
728,,,,2,150,Ralph Davis
729,,,,3,164,Charlie Hardnett
730,77.0,1938-05-24,2015-08-10,1,58,Cleo Hill
731,64.0,1938-05-24,2002-10-05,3,32,Ron Horn
732,78.0,1938-10-11,2017-06-30,12,801,Darrall Imhoff
733,48.0,1938-12-13,1987-04-29,10,631,Gus Johnson
734,76.0,1938-07-20,2015-02-01,1,14,Ron Johnson
735,,,,3,138,Howie Jolliff
736,68.0,1938-05-17,2006-08-31,1,7,Pickles Kennedy
737,41.0,1938-03-21,1980-02-29,1,5,Doug Kistler
738,34.0,1938-02-07,1972-08-05,3,144,Fred LaCour
739,77.0,1938-07-18,2016-02-06,1,59,York Larese
740,,,,2,125,Bob McNeill
741,,,,10,778,Tom Meschery
742,,,,5,378,Doug Moe
743,33.0,1938-03-11,1971-12-19,8,582,Jackie Moreland
744,,,,6,451,Paul Neumann
745,,,,4,134,Mel Peterson
746,,,,1,37,Frank Radovich
747,,,,14,1040,Oscar Robertson
748,,,,3,114,Joe Ruklick
749,,,,13,916,Tom Sanders
750,,,,11,811,Ray Scott
751,67.0,1938-10-09,2006-03-21,2,67,Bob Sims
752,,,,1,41,Herschell Turner
753,,,,14,932,Jerry West
754,,,,1,60,Bob Wiesenhahn
755,,,,2,27,Leroy Wright
756,73.0,1939-10-25,2013-08-27,12,889,Zelmo Beaty
757,74.0,1939-07-24,2013-11-02,14,1043,Walt Bellamy
758,,,,1,36,George Blaney
759,,,,1,11,Orbie Bowling
760,76.0,1939-04-04,2015-09-25,13,926,Bill Bridges
761,72.0,1939-08-13,2012-05-28,2,15,Ed Burton
762,66.0,1939-08-17,2006-01-21,1,12,Larry Comley
763,,,,11,712,Johnny Egan
764,,,,1,11,Jack Foley
765,,,,12,814,Don Kojis
766,72.0,1939-07-27,2012-06-24,2,87,Ted Luckenbill
767,,,,1,66,Whitey Martin
768,74.0,1939-09-16,2014-07-11,5,295,Bill McGill
769,75.0,1939-12-11,2015-08-24,4,133,Bevo Nordmann
770,,,,2,115,Mel Nowell
771,40.0,1939-01-21,1979-04-17,1,4,Chuck Osborne
772,64.0,1939-11-26,2003-12-22,1,59,George Patterson
773,,,,5,348,Gary Phillips
774,,,,1,2,Ken Rohloff
775,,,,3,196,Lee Shaffer
776,71.0,1939-05-22,2010-10-14,9,550,Larry Siegfried
777,57.0,1939-12-01,1997-10-10,7,541,Walter Simon
778,,,,1,9,Bill Smith
779,71.0,1939-01-21,2010-06-13,1,25,Tom Stith
780,,,,7,314,Tom Thacker
781,,,,9,559,John Tresvant
782,73.0,1939-06-05,2013-05-05,1,42,Jack Turner
783,,,,3,145,Hank Whitney
784,78.0,1939-09-29,2018-09-27,8,548,Art Williams
785,,,,1,61,Dave Zeller
786,,,,3,211,Tommie Bowens
787,,,,5,376,Larry Brown
788,,,,6,350,Darel Carrier
789,,,,1,1,Bill Crow
790,62.0,1940-10-16,2003-05-14,12,875,Dave DeBusschere
791,76.0,1940-10-09,2017-08-26,1,11,Harry Dinnel
792,,,,9,652,Terry Dischinger
793,,,,1,4,Danny Doyle
794,,,,3,94,Bob Duffy
795,72.0,1940-03-10,2012-06-02,14,1048,Leroy Ellis
796,,,,1,7,Dave Fedor
797,73.0,1940-02-11,2013-03-05,1,78,Calvin Fowler
798,,,,1,53,Bill Garner
799,,,,1,9,Mel Gibson
800,,,,1,11,Jerry Grote
801,58.0,1940-01-15,1998-08-02,1,77,Jim Hadnot
802,,,,3,86,Jerry Harkness
803,,,,16,1270,John Havlicek
804,62.0,1940-01-14,2002-04-18,10,565,Wayne Hightower
805,69.0,1940-04-28,2009-08-17,2,65,Paul Hogue
806,,,,11,755,Kevin Loughery
807,,,,11,829,Jerry Lucas
808,69.0,1940-03-16,2009-11-13,1,31,Porter Meriwether
809,,,,9,605,Eddie Miles
810,,,,1,20,Howie Montgomery
811,,,,14,1053,Don Nelson
812,,,,8,453,Bud Olsen
813,,1940-05-30,1970-07-00,1,1,John Postley
814,,,,3,159,Bobby Rascoe
815,75.0,1940-06-06,2015-08-04,3,131,John Rudometkin
816,,,,1,70,Bruce Spraggins
817,64.0,1940-09-21,2005-08-24,3,231,Joe Strawder
818,70.0,1940-09-04,2011-02-02,1,1,Roger Strickland
819,71.0,1940-11-30,2012-10-30,1,29,Dan Tieman
820,73.0,1940-02-19,2013-10-25,8,491,Chico Vaughn
821,,,,13,1032,Chet Walker
822,27.0,1940-09-03,1968-08-02,1,3,Ralph Wells
823,,,,4,120,Hubie White
824,,,,1,11,John Windsor
825,,,,1,19,Bob Woollard
826,61.0,1941-04-13,2002-09-14,7,454,Jim Barnes
827,,,,1,71,Tom Black
828,60.0,1941-06-16,2002-06-05,1,58,Bill Bradley
829,,,,11,782,Joe Caldwell
830,75.0,1941-07-04,2017-05-04,1,28,Jay Carty
831,77.0,1941-01-31,2018-07-12,10,670,Len Chappell
832,,,,10,725,Archie Clark
833,,,,12,789,Mel Counts
834,,,,5,297,Freddie Crawford
835,,,,8,597,Jim Davis
836,50.0,1941-03-08,1991-11-12,2,75,Bobby Edmonds
837,,,,2,25,Jerry Greenspan
838,,,,6,427,Ira Harge
839,71.0,1941-06-24,2012-08-27,6,310,Art Heyman
840,67.0,1941-10-07,2009-01-17,2,79,Gary Hill
841,43.0,1941-01-29,1984-12-05,2,20,Bob Hogsett
842,,,,5,223,Tom Hoover
843,,,,8,522,Luke Jackson
844,,,,10,607,Jim King
845,67.0,1941-05-09,2009-03-22,10,742,Howard Komives
846,72.0,1941-02-22,2013-07-06,1,78,Leland Mitchell
847,,,,3,228,Willie Murrell
848,,,,2,101,Jimmy Rayl
849,72.0,1941-04-28,2013-05-23,8,543,Flynn Robinson
850,70.0,1941-03-01,2012-02-11,1,3,Jeff Slade
851,75.0,1941-12-20,2017-03-16,8,522,Dave Stallworth
852,66.0,1941-05-02,2008-03-22,1,7,Red Stroud
853,,,,2,74,John Thompson
854,,,,8,466,Rod Thorn
855,74.0,1941-07-25,2016-07-16,14,964,Nate Thurmond
856,,,,4,169,Gerry Ward
857,64.0,1941-03-20,2005-09-06,5,186,Bob Warlick
858,,,,1,23,Bud Acton
859,75.0,1942-07-28,2018-05-14,1,69,Howard Bayne
860,,,,1,12,Al Beard
861,,,,6,414,Arthur Becker
862,73.0,1942-05-31,2016-04-16,3,118,Ron Bonham
863,40.0,1942-07-26,1983-07-15,6,254,Gary Bradds
864,72.0,1942-01-07,2014-11-02,2,83,Jesse Branson
865,54.0,1942-05-22,1997-03-04,8,605,Roger Brown
866,26.0,1942-05-05,1968-05-09,1,42,Bill Buntin
867,,,,1,22,Walter Byrd
868,,,,1,24,Steve Courtin
869,,,,1,10,Mike Dabich
870,,,,9,551,Hank Finkel
871,,,,3,153,Will Frazier
872,,,,1,3,David Gaines
873,,,,9,681,Gerald Govan
874,58.0,1942-05-31,2001-05-01,11,776,Happy Hairston
875,30.0,1942-05-04,1972-09-02,4,230,Reggie Harding
876,75.0,1942-07-17,2017-10-06,9,616,Connie Hawkins
877,69.0,1942-04-15,2011-11-18,10,724,Walt Hazzard
878,,,,6,416,Fred Hetzel
879,,,,7,468,Les Hunter
880,62.0,1942-11-07,2005-10-28,2,138,Tony Jackson
881,,,,8,551,Larry Jones
882,75.0,1942-10-17,2017-11-25,9,704,Steve Jones
883,,,,11,678,Wali Jones
884,74.0,1942-09-07,2017-05-02,9,571,Toby Kimball
885,,,,1,54,Bud Koper
886,,,,2,59,Barry Kramer
887,,,,2,58,David Lee
888,,,,7,376,George Lehmann
889,,,,11,789,Bob Love
890,,,,2,56,Elton McGriff
891,,,,3,189,Maurice McHartley
892,67.0,1942-04-03,2009-04-30,8,580,McCoy McLemore
893,,,,12,804,Jeff Mullins
894,,,,2,84,Cotton Nash
895,,,,9,618,Bob Netolicky
896,,,,2,69,Willie Porter
897,,,,8,599,Cincinnatus Powell
898,,,,2,119,Ron Reed
899,,,,10,650,Willis Reed
900,,,,1,21,Roger Schurig
901,,,,11,755,Jerry Sloan
902,,,,3,143,Willie Somerset
903,68.0,1942-06-01,2010-06-22,4,274,Levern Tart
904,,,,12,783,Bob Weiss
905,,,,7,410,George Wilson
906,,,,2,140,Dan Anderson
907,67.0,1943-09-05,2011-08-08,3,187,Mike Barrett
908,,,,1,59,Spider Bennett
909,,,,12,901,Dave Bing
910,41.0,1943-03-19,1984-12-11,6,261,Nate Bowman
911,,,,10,742,Bill Bradley
912,,,,2,137,Jim Caldwell
913,,,,6,320,Jerry Chambers
914,,,,11,790,Barry Clemens
915,,,,1,23,John Comeaux
916,,,,5,306,Jeffrey Congdon
917,,,,11,770,Billy Cunningham
918,,,,6,447,Warren Davis
919,71.0,1943-08-09,2014-11-26,1,58,Don Dee
920,,,,4,220,Bill Dinwiddie
921,,,,1,1,Penny Early
922,,,,4,165,John Fairchild
923,,,,10,743,Jim Fox
924,,,,14,1031,Gail Goodrich
925,,,,5,329,Julian Hammond
926,26.0,1943-09-07,1970-08-19,1,76,Joe Hamood
927,,,,9,681,Clem Haskins
928,,,,1,2,Al Jackson
929,,,,2,125,Jim Jarvis
930,,,,7,380,Neil Johnson
931,,,,2,80,Johnny Jones
932,64.0,1943-02-28,2007-11-29,4,224,Tommy Kron
933,,,,1,46,Terry Kunze
934,,,,5,263,Dave Lattin
935,,,,11,750,Freddie Lewis
936,,,,6,450,Gene Littles
937,71.0,1943-05-24,2014-09-12,1,52,Lonnie Lynn
938,,,,1,51,Johnny Mathis
939,,,,11,792,Jon McGlocklin
940,45.0,1943-06-08,1988-06-30,1,5,Thales McReynolds
941,,,,1,7,Bill Meyer
942,57.0,1943-07-19,2001-04-05,4,117,Jay Miller
943,58.0,1943-04-17,2002-03-24,2,59,Wayne Molis
944,,,,6,357,Dorie Murrey
945,,,,1,39,Dick Nemelka
946,,1943-10-28,1978-08-00,1,40,Richard Parks
947,,,,1,51,Rich Peek
948,,,,6,309,George Peeples
949,,,,3,187,Ron Perry
950,,,,2,125,Kendall Rhine
951,,,,1,28,Jerry Rook
952,48.0,1943-03-07,1991-06-15,2,82,Lester Selvage
953,,,,16,1254,Paul Silas
954,,,,2,95,Grant Simmons
955,,,,1,4,Doug Sims
956,67.0,1943-09-14,2011-08-29,3,79,George Sutor
957,,,,3,170,Skip Thoren
958,58.0,1943-02-24,2001-05-07,5,352,Al Tucker
959,,,,12,921,Dick Van Arsdale
960,,,,12,929,Tom Van Arsdale
961,,,,11,774,Jim Washington
962,,,,2,28,Ron Watts
963,,,,1,12,Dexter Westbrook
964,,,,6,372,Charles Williams
965,,,,1,18,Tommy Woods
966,62.0,1944-09-21,2007-04-04,1,45,Matthew Aitch
967,,,,3,88,Henry Akin
968,,,,4,84,Cliff Anderson
969,,,,2,45,Johnny Austin
970,,,,11,732,Jim Barnett
971,,,,1,31,Moe Barr
972,,,,14,1020,Rick Barry
973,,,,7,506,John Beasley
974,70.0,1944-06-26,2015-06-14,4,269,Bob Bedell
975,,,,10,597,John Block
976,,,,1,11,Tyrone Britt
977,,,,5,306,Frank Card
978,,,,1,56,Don Carlos
979,,,,8,479,George Carter
980,,,,3,226,Stephen Chubin
981,44.0,1944-01-05,1988-09-04,2,58,Richard Clark
982,,,,1,70,John Clawson
983,,,,1,1,Larry Conley
984,,,,12,960,Louie Dampier
985,71.0,1944-07-20,2015-10-30,9,639,Mel Daniels
986,,,,3,223,Ollie Darden
987,,,,1,65,Craig Dill
988,,,,8,524,Joe Ellis
989,,,,12,766,Keith Erickson
990,61.0,1944-02-05,2005-12-09,1,19,Ron Filipek
991,,,,9,648,Donnie Freeman
992,,,,1,42,Chuck Gardner
993,,,,1,8,Calvin Graham
994,,,,10,735,Matt Guokas
995,68.0,1944-05-08,2012-06-18,4,144,Dennis Hamilton
996,,,,1,17,Darrell Hardy
997,,,,6,361,Bill Hewitt
998,,,,1,56,Carroll Hooser
999,69.0,1944-07-11,2014-04-11,13,890,Lou Hudson
1000,71.0,1944-06-17,2016-04-05,3,166,Ed Johnson
1001,,,,9,647,Stew Johnson
1002,,,,2,122,Gary Keller
1003,,,,1,13,Tom Kerwin
1004,,,,1,37,Ronald Kozlicki
1005,66.0,1944-08-02,2011-03-22,1,46,Edgar Lacey
1006,,,,1,9,Harry Laurie
1007,,,,10,742,Clyde Lee
1008,60.0,1944-02-22,2004-04-17,7,434,Goose Ligon
1009,,,,3,170,Riney Lochmann
1010,,,,4,80,Paul Long
1011,,,,1,7,R.B. Lynam
1012,67.0,1944-01-02,2011-03-04,9,604,Ed Manning
1013,,,,2,73,Guy Manning
1014,,,,11,849,Jack Marin
1015,,,,2,28,Bob McIntyre
1016,,,,7,396,Stan McKenzie
1017,,,,9,646,Bill Melchionni
1018,64.0,1944-05-24,2009-05-21,1,71,Dewitt Menyard
1019,,,,13,926,Earl Monroe
1020,,,,1,12,Larry Moore
1021,,,,8,445,Erwin Mueller
1022,,,,2,87,Jerry Pettway
1023,69.0,1944-11-17,2014-04-27,2,79,Marlbert Pradd
1024,65.0,1944-09-30,2009-11-18,8,586,Red Robbins
1025,,,,8,403,Bob Rule
1026,,,,12,817,Cazzie Russell
1027,,,,1,26,Rubin Russell
1028,,,,2,73,Dave Schellhase
1029,,,,1,5,Paul Scranton
1030,56.0,1944-05-05,2000-06-16,1,36,Mike Silliman
1031,,,,2,147,John Smith
1032,,,,4,255,Sam Smith
1033,,,,13,964,Dick Snyder
1034,40.0,1944-09-05,1985-04-12,1,25,Floyd Theard
1035,,,,6,294,Bill Turner
1036,,,,3,83,Stephen Vacendak
1037,63.0,1944-04-08,2007-07-02,9,698,Jimmy Walker
1038,,1944-05-02,1986-01-00,3,64,Jim Ware
1039,60.0,1944-04-21,2004-11-20,6,426,Trooper Washington
1040,,,,1,4,Roland West
